10.59.01.172283,PL300,login,
11.05.07.663976,PL300,words,2,
11.05.08.055017,PL300,words,2,
11.05.08.432030,PL300,words,1,
11.05.08.727805,PL300,words,2,
11.05.09.103805,PL300,words,1,
11.05.09.383549,PL300,words,2,
11.05.09.821714,PL300,words,1,
11.05.10.101458,PL300,words,2,
11.05.10.508561,PL300,words,1,
11.05.10.836412,PL300,words,2,
11.05.11.133246,PL300,words,1,
11.05.11.445076,PL300,words,2,
11.05.11.867244,PL300,words,1,
11.05.12.085780,PL300,words,2,
11.05.12.414654,PL300,words,1,
11.05.12.791657,PL300,words,2,
11.05.13.198742,PL300,words,1,
11.05.13.431358,PL300,words,2,
11.05.13.775312,PL300,words,1,
11.05.14.103183,PL300,words,2,
11.05.14.479185,PL300,words,1,
11.05.14.758927,PL300,words,2,
11.05.15.102842,PL300,words,1,
11.05.15.430714,PL300,words,2,
11.05.15.774627,PL300,words,1,
11.05.16.072420,PL300,words,2,
11.05.16.399294,PL300,words,1,
11.05.16.728163,PL300,words,2,
11.05.17.087118,PL300,words,1,
11.05.17.305784,PL300,words,2,
11.05.17.696786,PL300,words,1,
11.05.17.867253,PL300,words,2,
11.05.18.102886,PL300,words,1,
11.05.18.242241,PL300,words,2,
11.05.18.525052,PL300,words,1,
11.05.18.633329,PL300,words,2,
11.05.19.024372,PL300,words,2,
11.05.19.430449,PL300,words,2,
11.05.19.853573,PL300,words,1,
11.05.20.117296,PL300,words,2,
11.05.20.478244,PL300,words,1,
11.05.20.790070,PL300,words,2,
11.05.21.102901,PL300,words,1,
11.05.21.446850,PL300,words,2,
11.05.21.805791,PL300,words,1,
11.05.22.102581,PL300,words,2,
11.05.22.539743,PL300,words,1,
11.05.22.759327,PL300,words,2,
11.05.23.103242,PL300,words,1,
11.05.23.336862,PL300,words,2,
11.05.23.602609,PL300,words,1,
11.05.23.852273,PL300,words,2,
11.05.24.117987,PL300,words,1,
11.05.24.461894,PL300,words,2,
11.05.24.899055,PL300,words,1,
11.05.25.210885,PL300,words,2,
11.05.25.586884,PL300,words,1,
11.05.25.883674,PL300,words,2,
11.05.26.275715,PL300,words,1,
11.05.26.556514,PL300,words,2,
11.05.26.967258,PL300,words,1,
11.05.27.432101,PL300,words,2,
11.05.27.905757,PL300,words,2,
11.05.28.321668,PL300,words,1,
11.05.28.653361,PL300,words,2,
11.05.29.072453,PL300,words,1,
11.05.29.341585,PL300,words,2,
11.05.29.759247,PL300,words,1,
11.05.30.025029,PL300,words,2,
11.05.30.399683,PL300,words,1,
11.05.30.624033,PL300,words,2,
11.06.11.397241,PL300,letters,F E E _,
11.06.11.616386,PL300,letters,F E E L,
11.06.14.064552,PL300,letters,P R O F _ _,
11.06.14.373875,PL300,letters,P R O F I _,
11.06.14.533214,PL300,letters,P R O F I T,
11.06.17.088093,PL300,letters,G U I L T,
11.06.19.947737,PL300,letters,G _ A D,
11.06.20.321731,PL300,letters,G L A D,
11.06.21.588948,PL300,letters,F _ _ T I L E,
11.06.21.793477,PL300,letters,F E _ T I L E,
11.06.21.979653,PL300,letters,F E R T I L E,
11.06.24.579724,PL300,letters,M E R _ Y,
11.06.24.963744,PL300,letters,M E R R Y,
11.06.26.474767,PL300,letters,G _ A R _ D,
11.06.26.751099,PL300,letters,G L A R _ D,
11.06.27.067943,PL300,letters,G L A R E D,
11.06.28.833838,PL300,letters,S M A _ _,
11.06.29.057749,PL300,letters,S M A L _,
11.06.29.196117,PL300,letters,S M A L L,
11.06.30.492006,PL300,letters,F _ _ _ O U S,
